"Title","Start","End","Day of week","Duration","Day total","Created by","Organized by","Description","Where"
"BodyHype Dance Company Presents Fahrenheit","01/12/2019 19:00","01/12/2019 21:00","Sat","02:00","","Becky Barber","Becky Barber","

BodyHype Dance Company, founded in 1991, is putting on their 27th annual show in Theatre Intime. The show is called BodyHype Dance Company presents Fahrenheit in which 40 students work the Theatre Intime to put on a diverse dance show that encompasses contemporary, hip-hip, jazz, breaking, and lyrical pieces. Over 200 individuals attend each show, and we plan on having 5 shows in total. The show will occur during reading period as a great study break for many students.



Tags: ODUS, Students
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/CrnbrFSBdVwTCWdYYmNk/20190112
","Theatre Intime"
"Machinal","01/12/2019 20:00","01/12/2019 20:00","Sat","00:00","","Becky Barber","Becky Barber","

Sophie Treadwell's 1928 expressionist drama, inspired by the real-life case of accused criminal Ruth Snyder, tells the story of Young Woman who works as a stenographer in an industrial, male-dominated world. 


Related Link: https://arts.princeton.edu/machinal-2019-01-12

Tags: Arts, Theater, Academics
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/CxpCRmjdbXcjcDpFZnbt/20190112
","Wallace Theater, 122 Alexander Street"
"BodyHype Dance Company Presents Fahrenheit","01/12/2019 22:00","01/13/2019 00:00","Sat","02:00","13:00","Becky Barber","Becky Barber","

BodyHype Dance Company, founded in 1991, is putting on their 27th annual show in Theatre Intime. The show is called BodyHype Dance Company presents Fahrenheit in which 40 students work the Theatre Intime to put on a diverse dance show that encompasses contemporary, hip-hip, jazz, breaking, and lyrical pieces. Over 200 individuals attend each show, and we plan on having 5 shows in total. The show will occur during reading period as a great study break for many students.



Tags: ODUS, Students
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/CrnbrFSBdVwdbdmcwNKw/20190112
","Theatre Intime"
"in collaboration with Breakout Princeton and Community Action","01/13/2019 13:00","01/13/2019 16:00","Sun","03:00","","Becky Barber","Becky Barber","

Have you ever wanted to learn how to ride unicycle, juggle, or dance on an aerial trapeze? Then come join the Trenton Circus Squad this Sunday, January 13th, 2-4pm at the Carl A Fields Center Multipurpose Room and you (YES, YOU) will have the chance to make all your dreams come true. Feel free to come by whenever and leave only if you must (you won¿t want to). We will have photographers to get pics for your gram. This is a one-time thing so don¿t miss out!This event was organized by students involved in Breakout Princeton and Community Action. In September and October we each had the opportunity to learn from the Squad. We loved it so much that we wanted to bring the Squad to you! Don¿t miss this incredible chance to (temporarily) join the circus!!



Tags: Arts, Students, Community
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/DPRJTzVhPSFTszxjHPPt/20190113
","Fields Center, Multipurpose Room 104"
"Who's That Woman? Women of the Musicals of Stephen Sondheim","01/13/2019 14:00","01/13/2019 14:00","Sun","00:00","","Becky Barber","Becky Barber","

Nine students act, sing, and dance their way through the work of magnificent composer/lyricist Stephen Sondheim, exploring female archetypes and womanhood along the way. 


Related Link: https://arts.princeton.edu/whos-that-woman-women-of-the-musicals-of-stephen-sondheim

Tags: Arts, Music
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/CxpCRmjbcdNxBkhMWhFk/20190113
","Donald G. Drapkin Studio, 122 Alexander Street"
"Machinal","01/13/2019 20:00","01/13/2019 20:00","Sun","00:00","03:00","Becky Barber","Becky Barber","

Sophie Treadwell's 1928 expressionist drama, inspired by the real-life case of accused criminal Ruth Snyder, tells the story of Young Woman who works as a stenographer in an industrial, male-dominated world. 


Related Link: https://arts.princeton.edu/machinal-2019-01-13

Tags: Arts, Theater, Academics
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/CxpCRmjdbXcjcDpFZnbs/20190113
","Wallace Theater, 122 Alexander Street"
"Body and Object Exhibition","01/17/2019 10:00","01/17/2019 20:00","Thu","10:00","","Becky Barber","Becky Barber","

Exhibition of sculptures and other artworks that relate directly to the body and compel performance, interaction, and movement, created by students in the fall course “Body and Object: Making Art that is both Sculpture and Dance.”


Related Link: https://arts.princeton.edu/body-and-object-exhibition

Tags: Arts, Dance, Exhibitions, Visual Arts
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/CxpCRmjTTnWtXhpDWbsv/20190117
","Hurley Gallery, 122 Alexander Street"
"Sculpture I: Extraordinary Processes Exhibition","01/17/2019 10:00","01/17/2019 20:00","Thu","10:00","","Becky Barber","Becky Barber","

The Program in Visual Arts presents an exhibition of work by students in the fall course “Sculpture I” taught by Joe Scanlan in which students explored form, space, and the influence of a wide variety of materials and processes on the visual properties of sculpture.


Related Link: https://arts.princeton.edu/sculpture-exhibition

Tags: Arts, Exhibitions, Visual Arts
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/CxpCRmjScmyFJpdbFdDs/20190117
","CoLab, 122 Alexander Street"
"End of Semester Showings in Dance","01/17/2019 15:00","01/17/2019 15:00","Thu","00:00","20:00","Becky Barber","Becky Barber","

A series of performances by students in fall 2018 dance courses, at various locations in the Lewis Arts complex.


Related Link: https://arts.princeton.edu/end-semester-showings-dance-fa-18-2019-01-17

Tags: Arts, Dance
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/CxpCRmjVTYzPKvSSpjRm/20190117
","Lewis Arts complex, 122 Alexander Street"
"Jummah Prayer in Murray-Dodge","01/18/2019 13:00","01/18/2019 15:00","Fri","02:00","","Becky Barber","Becky Barber","

Join us for Jummah Prayer in Murray-Dodge Hall each Friday at 1pm.  All are welcome!  For more information, email Imam Sohaib Sultan ssultan@princeton.edu



Tags: Students, Community, Religious, Cultural
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/DPRJTzVhRTWFZxCzNJJw/20190118
",""
"New Jersey Symphony Orchestra Zhang and Upshaw","01/18/2019 19:00","01/18/2019 19:30","Fri","00:30","02:30","Becky Barber","Becky Barber","



Related Link: https://www.njsymphony.org/

Tags: Arts
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/DPRJTzVddsmwwnRcWfdJ/20190118
","Alexander Hall, Richardson Auditorium"
"Media Arts Show","01/21/2019 09:00","01/21/2019 17:00","Mon","08:00","","Becky Barber","Becky Barber","

An exhibition of recent student work from fall courses in photography and graphic design


Related Link: https://arts.princeton.edu/media-arts-show-fa-18

Tags: Arts, Exhibitions, Visual Arts
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/CxpCRmjPbDmYhZRjYJvs/20190121
","Lucas Gallery, 185 Nassau Street"
"Student Theater Auditions","01/21/2019 14:00","01/21/2019 17:00","Mon","03:00","11:00","Becky Barber","Becky Barber","

All Princeton students are welcome to attend auditions for roles in a new piece of theater with music commissioned through the Roger S. Berlind Playwright in Residence program from Afropolitan theater maker Shariffa Ali.


Related Link: https://arts.princeton.edu/student-theater-auditions-ali-sp19

Tags: Arts, Theater, Music Theater, Music, Academics
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/CxpCRmjHTcWFcrVrjwYk/20190121
","Tilghman Studio, 122 Alexander Street"
"","","","Total:","66:00","","","","",""
