"Title","Start","End","Duration","Description","Where","Categories"
"Men's Ice Hockey vs. Dartmouth","2019-01-12 19:00","2019-01-12 22:00","03:00","




Tags: Athletics, Hockey
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/DPRJTzVdbwsCJpkRfbZJ/20190112
","Baker Rink","Athletics"
"Machinal","2019-01-12 20:00","2019-01-12 20:00","00:00","

Sophie Treadwell's 1928 expressionist drama, inspired by the real-life case of accused criminal Ruth Snyder, tells the story of Young Woman who works as a stenographer in an industrial, male-dominated world. 


Related Link: https://arts.princeton.edu/machinal-2019-01-12

Tags: Arts, Theater, Academics
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/CxpCRmjdbXcjcDpFZnbt/20190112
","Wallace Theater, 122 Alexander Street","Theater, Arts"
"in collaboration with Breakout Princeton and Community Action","2019-01-13 13:00","2019-01-13 16:00","03:00","

Have you ever wanted to learn how to ride unicycle, juggle, or dance on an aerial trapeze? Then come join the Trenton Circus Squad this Sunday, January 13th, 2-4pm at the Carl A Fields Center Multipurpose Room and you (YES, YOU) will have the chance to make all your dreams come true. Feel free to come by whenever and leave only if you must (you won¿t want to). We will have photographers to get pics for your gram. This is a one-time thing so don¿t miss out!This event was organized by students involved in Breakout Princeton and Community Action. In September and October we each had the opportunity to learn from the Squad. We loved it so much that we wanted to bring the Squad to you! Don¿t miss this incredible chance to (temporarily) join the circus!!



Tags: Arts, Students, Community
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/DPRJTzVhPSFTszxjHPPt/20190113
","Fields Center, Multipurpose Room 104","Service"
"Who's That Woman? Women of the Musicals of Stephen Sondheim","2019-01-13 14:00","2019-01-13 14:00","00:00","

Nine students act, sing, and dance their way through the work of magnificent composer/lyricist Stephen Sondheim, exploring female archetypes and womanhood along the way. 


Related Link: https://arts.princeton.edu/whos-that-woman-women-of-the-musicals-of-stephen-sondheim

Tags: Arts, Music
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/CxpCRmjbcdNxBkhMWhFk/20190113
","Donald G. Drapkin Studio, 122 Alexander Street","Arts, Social"
"Machinal","2019-01-13 20:00","2019-01-13 20:00","00:00","

Sophie Treadwell's 1928 expressionist drama, inspired by the real-life case of accused criminal Ruth Snyder, tells the story of Young Woman who works as a stenographer in an industrial, male-dominated world. 


Related Link: https://arts.princeton.edu/machinal-2019-01-13

Tags: Arts, Theater, Academics
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/CxpCRmjdbXcjcDpFZnbs/20190113
","Wallace Theater, 122 Alexander Street","Theater, Arts"
"Body and Object Exhibition","2019-01-17 10:00","2019-01-17 20:00","10:00","

Exhibition of sculptures and other artworks that relate directly to the body and compel performance, interaction, and movement, created by students in the fall course “Body and Object: Making Art that is both Sculpture and Dance.”


Related Link: https://arts.princeton.edu/body-and-object-exhibition

Tags: Arts, Dance, Exhibitions, Visual Arts
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/CxpCRmjTTnWtXhpDWbsv/20190117
","Hurley Gallery, 122 Alexander Street","Exhibitions"
"Sculpture I: Extraordinary Processes Exhibition","2019-01-17 10:00","2019-01-17 20:00","10:00","

The Program in Visual Arts presents an exhibition of work by students in the fall course “Sculpture I” taught by Joe Scanlan in which students explored form, space, and the influence of a wide variety of materials and processes on the visual properties of sculpture.


Related Link: https://arts.princeton.edu/sculpture-exhibition

Tags: Arts, Exhibitions, Visual Arts
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/CxpCRmjScmyFJpdbFdDs/20190117
","CoLab, 122 Alexander Street","Arts, Exhibitions"
"End of Semester Showings in Dance","2019-01-17 15:00","2019-01-17 15:00","00:00","

A series of performances by students in fall 2018 dance courses, at various locations in the Lewis Arts complex.


Related Link: https://arts.princeton.edu/end-semester-showings-dance-fa-18-2019-01-17

Tags: Arts, Dance
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/CxpCRmjVTYzPKvSSpjRm/20190117
","Lewis Arts complex, 122 Alexander Street","Arts"
"Jummah Prayer in Murray-Dodge","2019-01-18 13:00","2019-01-18 15:00","02:00","

Join us for Jummah Prayer in Murray-Dodge Hall each Friday at 1pm.  All are welcome!  For more information, email Imam Sohaib Sultan ssultan@princeton.edu



Tags: Students, Community, Religious, Cultural
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/DPRJTzVhRTWFZxCzNJJw/20190118
","","Cultural"
"New Jersey Symphony Orchestra Zhang and Upshaw","2019-01-18 19:00","2019-01-18 19:30","00:30","



Related Link: https://www.njsymphony.org/

Tags: Arts
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/DPRJTzVddsmwwnRcWfdJ/20190118
","Alexander Hall, Richardson Auditorium","Arts, Music"
"Media Arts Show","2019-01-21 09:00","2019-01-21 17:00","08:00","

An exhibition of recent student work from fall courses in photography and graphic design


Related Link: https://arts.princeton.edu/media-arts-show-fa-18

Tags: Arts, Exhibitions, Visual Arts
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/CxpCRmjPbDmYhZRjYJvs/20190121
","Lucas Gallery, 185 Nassau Street","Arts"
"Student Theater Auditions","2019-01-21 14:00","2019-01-21 17:00","03:00","

All Princeton students are welcome to attend auditions for roles in a new piece of theater with music commissioned through the Roger S. Berlind Playwright in Residence program from Afropolitan theater maker Shariffa Ali.


Related Link: https://arts.princeton.edu/student-theater-auditions-ali-sp19

Tags: Arts, Theater, Music Theater, Music, Academics
-------------------------------------------------------------------------------
Event notification delivered from the Princeton Timeline app.
If you wish to modify settings for this event, please do so in the Princeton Timeline app, not here.

Post: https://timeline.princeton.edu/post/CxpCRmjHTcWFcrVrjwYk/20190121
","Tilghman Studio, 122 Alexander Street","Theater, Arts"
